loan_id,cust_id,date,loan_reason,loan_term,requested_amount,installment,number_loans_accounts,number_accounts
210731,4090,2016-06-01,Car,72,25000,440.97,1,2
210728,4091,2018-06-01,Housing,48,12000,287.5,0,1
210725,4092,2016-06-01,Financial,24,20000,1150.0,3,2
210722,4093,2017-02-01,Personal,24,7000,385.0,0,1
210719,4094,2016-12-01,Personal,36,15000,550.0,0,1
210716,4095,2017-06-01,Car,24,4000,211.67,0,2
210713,4096,2017-10-01,Car,72,5000,88.19,1,1
210710,4097,2016-04-01,Car,60,7000,148.17,0,1
210707,4098,2018-10-01,Financial,36,12000,460.0,1,1
210704,4099,2018-06-01,Car,36,10000,352.78,0,1
210701,4100,2018-04-01,Car,36,10000,352.78,1,1
210698,4101,2017-01-01,Car,60,10000,211.67,0,3
210695,4102,2018-10-01,Personal,48,12000,330.0,0,3
210692,4103,2016-11-01,Personal,60,25000,550.0,0,1
210689,4104,2018-07-01,Car,24,5000,264.58,0,2
210686,4105,2016-11-01,Personal,24,15000,825.0,0,2
210683,4106,2017-12-01,Personal,48,7000,192.5,1,3
210680,4107,2018-06-01,Car,36,7000,246.94,0,1
210677,4108,2017-08-01,Personal,48,15000,412.5,0,1
210674,4109,2018-05-01,Financial,36,4000,153.33,0,3
210671,4110,2018-04-01,Car,36,10000,352.78,1,1
210668,4111,2018-09-01,Housing,48,10000,239.58,0,2
210665,4112,2017-07-01,Personal,72,10000,183.33,0,1
210662,4113,2017-06-01,Housing,72,5000,79.86,0,1
210659,4114,2018-09-01,Personal,48,10000,275.0,0,2
210656,4115,2017-07-01,Car,48,10000,264.58,3,3
210653,4116,2017-08-01,Car,24,10000,529.17,1,1
210650,4117,2017-12-01,Car,72,10000,176.39,0,4
210647,4118,2016-10-01,Car,72,5000,88.19,0,1
210644,4119,2016-03-01,Car,36,25000,881.94,0,1
210641,4120,2016-06-01,Car,48,5000,132.29,1,2
210638,4121,2018-04-01,Car,36,15000,529.17,0,1
210635,4122,2018-08-01,Financial,48,12000,345.0,1,1
210632,4123,2017-07-01,Car,60,7000,148.17,0,1
210629,4124,2016-03-01,Financial,36,25000,958.33,1,1
210626,4125,2016-07-01,Financial,72,10000,191.67,0,2
210623,4126,2018-01-01,Personal,60,12000,264.0,1,1
210620,4127,2018-03-01,Car,48,10000,264.58,0,3
210617,4128,2018-04-01,Personal,60,10000,220.0,0,1
210614,4129,2017-02-01,Personal,36,7000,256.67,0,1
210611,4130,2017-08-01,Financial,36,10000,383.33,2,2
210608,4131,2018-09-01,Car,36,10000,352.78,1,1
210605,4132,2018-12-01,Housing,36,15000,479.17,0,1
210602,4133,2016-04-01,Car,72,10000,264.58,0,1
210599,4134,2017-03-01,Financial,48,10000,287.5,0,1
210596,4135,2018-10-01,Car,72,7000,123.47,0,1
210593,4136,2016-02-01,Car,60,10000,211.67,1,1
210590,4137,2016-01-01,Personal,48,5000,137.5,0,1
210587,4138,2017-09-01,Housing,36,5000,159.72,0,1
210584,4139,2017-11-01,Car,48,15000,396.88,0,2
210581,4140,2017-10-01,Car,48,15000,396.88,0,1
210578,4141,2017-09-01,Personal,48,30000,825.0,0,1
210575,4142,2016-07-01,Car,24,15000,793.75,1,1
210572,4143,2017-06-01,Car,36,10000,352.78,0,1
210569,4144,2017-11-01,Personal,24,5000,275.0,1,1
210566,4145,2017-03-01,Personal,36,12000,440.0,0,2
210563,4146,2017-05-01,Personal,36,10000,366.67,0,1
210560,4147,2017-01-01,Personal,72,7000,128.33,0,1
210557,4148,2016-08-01,Car,72,15000,264.58,0,1
210554,4149,2018-11-01,Housing,60,7000,134.17,2,1
210551,4150,2017-08-01,Car,48,25000,661.46,0,1
210548,4151,2017-02-01,Personal,48,15000,412.5,1,1
210545,4152,2016-09-01,Housing,72,12000,191.67,1,3
210542,4153,2016-07-01,Car,48,10000,264.58,0,1
210539,4154,2017-06-01,Personal,60,25000,550.0,0,4
210536,4155,2017-11-01,Personal,36,25000,916.67,0,1
210533,4156,2016-10-01,Personal,36,20000,733.33,0,1
210530,4157,2018-07-01,Housing,36,10000,319.44,0,1
210527,4158,2016-06-01,Car,48,15000,396.88,0,1
210524,4159,2017-11-01,Car,36,5000,176.39,2,1
210521,4160,2017-11-01,Car,24,25000,1322.92,2,1
210518,4161,2017-02-01,Housing,36,25000,798.61,0,1
210515,4162,2018-02-01,Financial,60,10000,230.0,0,1
210512,4163,2017-06-01,Car,72,10000,176.39,0,1
210509,4164,2018-03-01,Car,24,15000,793.75,0,1
210506,4165,2017-01-01,Car,72,7000,123.47,1,1
210503,4166,2018-11-01,Car,24,10000,529.17,1,2
210500,4167,2017-10-01,Personal,48,10000,275.0,0,1
210497,4168,2017-07-01,Car,60,10000,211.67,0,1
210494,4169,2016-12-01,Car,60,15000,317.5,0,1
210491,4170,2017-11-01,Car,48,4000,105.83,0,1
210488,4171,2018-03-01,Financial,36,4000,153.33,0,2
210485,4172,2017-01-01,Housing,48,10000,239.58,0,1
210482,4173,2016-04-01,Car,36,10000,352.78,1,1
210479,4174,2016-07-01,Personal,72,5000,91.67,0,1
210476,4175,2018-06-01,Car,36,10000,352.78,0,1
210473,4176,2018-09-01,Housing,72,30000,479.17,0,1
210470,4177,2017-06-01,Housing,48,15000,359.38,0,1
210467,4178,2016-10-01,Financial,60,25000,575.0,0,1
210464,4179,2017-02-01,Housing,72,5000,79.86,0,1
210461,4180,2018-01-01,Housing,48,25000,598.96,0,1
210458,4181,2016-04-01,Financial,72,10000,191.67,0,3
210455,4182,2016-07-01,Car,48,10000,264.58,0,1
210452,4183,2018-07-01,Housing,72,15000,239.58,0,1
210449,4184,2017-03-01,Car,48,12000,317.5,2,1
210446,4185,2016-11-01,Housing,24,30000,1437.5,0,1
210443,4186,2018-04-01,Housing,72,7000,111.81,0,1
210440,4187,2018-08-01,Car,72,15000,264.58,0,1
210437,4188,2018-09-01,Personal,24,50000,2750.0,1,2
210434,4189,2016-08-01,Car,48,7000,185.21,0,1
210431,4190,2018-02-01,Personal,36,20000,733.33,1,3
210428,4191,2018-05-01,Financial,60,5000,115.0,1,1
210425,4192,2016-04-01,Housing,60,4000,76.67,2,1
210422,4193,2018-08-01,Housing,48,30000,718.75,0,2
210419,4194,2018-06-01,Car,24,7000,370.42,0,2
210416,4195,2016-04-01,Financial,36,50000,1916.67,4,1
210413,4196,2018-04-01,Car,24,10000,793.75,1,2
210410,4197,2017-04-01,Personal,48,7000,192.5,0,1
210407,4198,2016-09-01,Personal,60,30000,660.0,0,3
210404,4199,2017-01-01,Financial,24,4000,230.0,1,2
210401,4200,2017-06-01,Financial,72,4000,76.67,0,1
210398,4201,2016-12-01,Personal,36,25000,916.67,2,1
210395,4202,2016-10-01,Housing,36,15000,479.17,0,2
210392,4203,2018-05-01,Housing,48,15000,359.38,2,1
210389,4204,2016-10-01,Personal,36,7000,256.67,0,1
210386,4205,2018-03-01,Car,36,30000,1058.33,0,1
210383,4206,2018-04-01,Car,48,10000,264.58,0,1
210380,4207,2018-07-01,Housing,36,5000,159.72,0,1
210377,4208,2018-09-01,Financial,48,7000,201.25,0,3
210374,4209,2017-07-01,Car,48,12000,317.5,1,1
210371,4210,2016-04-01,Personal,72,7000,128.33,0,1
210368,4211,2017-10-01,Car,36,10000,352.78,0,3
210365,4212,2016-04-01,Car,24,7000,370.42,0,1
210362,4213,2018-04-01,Personal,48,12000,330.0,0,1
210359,4214,2016-11-01,Car,24,25000,1322.92,2,5
210356,4215,2017-12-01,Car,60,15000,317.5,0,1
210353,4216,2018-04-01,Car,24,10000,529.17,1,1
210350,4217,2016-12-01,Financial,36,20000,766.67,1,1
210347,4218,2016-12-01,Car,36,30000,1058.33,1,1
210344,4219,2017-01-01,Personal,48,10000,275.0,0,1
210341,4220,2016-02-01,Housing,36,10000,479.17,0,1
210338,4221,2016-11-01,Personal,36,7000,256.67,0,1
210335,4222,2016-03-01,Car,72,10000,176.39,0,2
210332,4223,2017-04-01,Personal,48,7000,192.5,0,1
210329,4224,2017-05-01,Car,60,10000,211.67,0,1
210326,4225,2017-04-01,Car,60,25000,529.17,1,1
210323,4226,2016-04-01,Car,36,7000,246.94,0,1
210320,4227,2016-08-01,Financial,36,10000,383.33,0,1
210317,4228,2018-06-01,Car,24,7000,370.42,3,1
210314,4229,2018-03-01,Financial,24,25000,1437.5,0,1
210311,4230,2016-01-01,Car,36,10000,352.78,0,1
210308,4231,2018-08-01,Car,72,7000,123.47,0,2
210305,4232,2017-04-01,Housing,72,50000,798.61,0,1
210302,4233,2018-11-01,Car,60,10000,529.17,0,3
210299,4234,2017-05-01,Housing,36,10000,319.44,0,1
210296,4235,2016-02-01,Financial,48,15000,431.25,1,1
210293,4236,2018-08-01,Financial,72,25000,479.17,0,2
210290,4237,2017-08-01,Car,48,10000,264.58,0,1
210287,4238,2017-12-01,Financial,48,15000,431.25,0,1
210284,4239,2017-06-01,Personal,72,10000,183.33,1,1
210281,4240,2018-07-01,Housing,48,7000,167.71,2,1
210278,4241,2018-01-01,Personal,48,15000,412.5,0,1
210275,4242,2018-10-01,Car,48,2000,132.29,0,2
210272,4243,2018-08-01,Personal,72,15000,275.0,0,2
210269,4244,2018-07-01,Car,60,7000,148.17,0,1
210266,4245,2016-07-01,Car,48,10000,264.58,0,3
210263,4246,2018-02-01,Car,36,12000,423.33,0,1
210260,4247,2018-09-01,Financial,48,10000,287.5,0,2
210257,4248,2016-09-01,Personal,36,15000,550.0,0,1
210254,4249,2016-04-01,Financial,72,12000,230.0,1,2
210251,4250,2017-09-01,Housing,72,10000,159.72,2,1
210248,4251,2017-08-01,Car,36,7000,246.94,0,1
210245,4252,2018-12-01,Housing,48,10000,239.58,0,1
210242,4253,2017-06-01,Housing,36,2000,127.78,0,1
210239,4254,2018-07-01,Financial,72,25000,479.17,0,1
210236,4255,2016-01-01,Financial,24,10000,575.0,1,1
210233,4256,2018-01-01,Car,60,12000,254.0,1,1
210230,4257,2016-03-01,Financial,36,10000,575.0,1,1
210227,4258,2016-11-01,Car,36,2000,141.11,1,1
210224,4259,2017-04-01,Car,72,15000,264.58,0,1
210221,4260,2018-03-01,Housing,48,10000,239.58,1,2
210218,4261,2016-07-01,Personal,36,10000,366.67,0,2
210215,4262,2017-04-01,Car,36,25000,881.94,0,1
210212,4263,2016-10-01,Car,36,7000,246.94,0,1
210209,4264,2018-08-01,Car,48,7000,185.21,0,1
210206,4265,2016-10-01,Car,36,20000,705.56,3,1
210203,4266,2018-07-01,Car,48,15000,396.88,1,1
210200,4267,2017-01-01,Housing,72,10000,159.72,2,1
210197,4268,2018-02-01,Car,36,10000,352.78,0,1
210194,4269,2018-08-01,Housing,36,12000,383.33,1,1
210191,4270,2017-05-01,Car,36,10000,352.78,0,1
210188,4271,2018-02-01,Personal,36,20000,733.33,0,2
210185,4272,2018-10-01,Car,36,7000,246.94,0,1
210182,4273,2018-08-01,Personal,36,4000,146.67,1,1
210179,4274,2017-03-01,Car,72,50000,881.94,0,1
210176,4275,2017-07-01,Car,72,7000,123.47,0,1
210173,4276,2016-07-01,Personal,48,7000,192.5,0,1
210170,4277,2018-07-01,Personal,36,12000,440.0,0,1
210167,4278,2016-09-01,Personal,72,15000,275.0,1,1
210164,4279,2016-10-01,Car,36,10000,352.78,0,1
210161,4280,2018-02-01,Car,36,20000,705.56,0,1
210158,4281,2017-07-01,Car,72,10000,176.39,1,1
210155,4282,2018-10-01,Personal,36,10000,366.67,0,1
210152,4283,2018-05-01,Financial,60,10000,230.0,0,1
210149,4284,2018-09-01,Financial,60,7000,161.0,0,2
210146,4285,2018-07-01,Personal,36,7000,256.67,2,1
210143,4286,2017-07-01,Housing,24,15000,718.75,0,1
210140,4287,2016-10-01,Financial,36,7000,268.33,0,1
210137,4288,2017-02-01,Car,48,10000,264.58,0,1
210134,4289,2016-08-01,Car,72,7000,123.47,0,1
210131,4290,2016-01-01,Car,24,10000,529.17,0,1
210128,4291,2017-01-01,Personal,36,25000,916.67,1,2
210125,4292,2017-04-01,Personal,48,7000,192.5,0,1
210122,4293,2016-10-01,Housing,24,7000,335.42,1,2
210119,4294,2017-09-01,Car,72,4000,70.56,1,4
210116,4295,2018-10-01,Car,36,10000,352.78,0,1
210113,4296,2018-02-01,Car,48,10000,264.58,2,2
210110,4297,2016-01-01,Personal,60,4000,88.0,1,1
210107,4298,2017-03-01,Car,48,10000,264.58,1,1
210104,4299,2016-05-01,Car,72,10000,881.94,0,1
210101,4300,2018-04-01,Housing,72,15000,239.58,0,3
210098,4301,2018-04-01,Personal,36,10000,366.67,0,3
210095,4302,2017-07-01,Car,36,7000,246.94,0,1
210092,4303,2016-08-01,Financial,48,10000,287.5,0,3
210089,4304,2016-02-01,Car,24,7000,370.42,0,1
210086,4305,2017-12-01,Car,36,15000,529.17,0,1
210083,4306,2018-02-01,Car,24,7000,370.42,0,3
210080,4307,2017-01-01,Car,60,15000,317.5,0,2
210077,4308,2017-09-01,Personal,36,7000,256.67,0,1
210074,4309,2018-11-01,Personal,60,10000,220.0,0,1
210071,4310,2016-01-01,Personal,24,7000,385.0,2,1
210068,4311,2018-07-01,Personal,72,15000,275.0,0,1
210065,4312,2016-11-01,Housing,48,10000,239.58,2,1
210062,4313,2018-02-01,Car,36,10000,352.78,0,1
210059,4314,2017-07-01,Housing,36,25000,798.61,0,1
210056,4315,2016-01-01,Personal,72,15000,275.0,2,1
210053,4316,2017-01-01,Car,60,15000,317.5,0,1
210050,4317,2016-03-01,Financial,48,30000,862.5,0,1
210047,4318,2016-11-01,Personal,48,25000,687.5,0,1
210044,4319,2018-12-01,Personal,48,7000,192.5,0,1
210041,4320,2018-04-01,Housing,36,10000,319.44,0,1
210038,4321,2017-06-01,Personal,36,10000,366.67,0,3
210035,4322,2018-02-01,Housing,72,4000,63.89,1,1
210032,4323,2017-02-01,Personal,36,10000,366.67,0,2
210029,4324,2017-04-01,Housing,48,15000,359.38,0,1
210026,4325,2018-07-01,Financial,48,10000,287.5,1,1
210023,4326,2016-04-01,Housing,36,15000,479.17,3,2
210020,4327,2018-04-01,Car,72,15000,264.58,0,1
210017,4328,2018-02-01,Car,48,10000,264.58,0,1
210014,4329,2018-04-01,Housing,72,30000,479.17,0,1
210011,4330,2016-07-01,Car,48,30000,793.75,0,4
210008,4331,2018-01-01,Housing,36,7000,223.61,0,2
210005,4332,2016-07-01,Financial,72,15000,287.5,0,3
210002,4333,2016-02-01,Car,36,10000,1058.33,0,1
209999,4334,2017-06-01,Car,36,12000,423.33,0,1
209996,4335,2016-03-01,Housing,72,10000,159.72,1,1
209993,4336,2016-06-01,Personal,48,15000,412.5,2,1
209990,4337,2018-09-01,Car,36,5000,176.39,0,1
209987,4338,2018-02-01,Financial,72,10000,191.67,1,1
209984,4339,2017-04-01,Housing,36,12000,383.33,3,2
209981,4340,2017-09-01,Car,36,50000,1763.89,0,3
209978,4341,2018-03-01,Car,36,5000,176.39,1,1
209975,4342,2018-01-01,Financial,48,10000,287.5,0,2
209972,4343,2018-01-01,Housing,60,12000,230.0,0,3
209969,4344,2018-01-01,Financial,36,12000,460.0,0,1
209966,4345,2018-07-01,Financial,72,10000,191.67,0,1
209963,4346,2017-06-01,Housing,24,10000,479.17,0,1
209960,4347,2017-10-01,Car,48,7000,185.21,1,1
209957,4348,2016-07-01,Car,48,7000,185.21,1,1
209954,4349,2016-10-01,Car,36,5000,176.39,0,1
209951,4350,2017-07-01,Car,48,25000,661.46,0,3
209948,4351,2016-07-01,Car,48,7000,185.21,1,1
209945,4352,2016-06-01,Housing,60,50000,958.33,0,1
209942,4353,2016-09-01,Car,60,7000,148.17,1,1
209939,4354,2016-01-01,Housing,36,30000,958.33,0,1
209936,4355,2018-10-01,Financial,72,10000,287.5,0,1
209933,4356,2017-01-01,Personal,24,7000,385.0,2,2
209930,4357,2016-08-01,Financial,36,7000,268.33,0,1
209927,4358,2018-01-01,Housing,72,12000,191.67,3,3
209924,4359,2016-05-01,Housing,36,15000,479.17,1,2
209921,4360,2017-05-01,Housing,48,10000,239.58,0,1
209918,4361,2017-10-01,Car,36,7000,246.94,1,2
209915,4362,2018-09-01,Housing,36,10000,319.44,0,1
209912,4363,2016-04-01,Personal,72,10000,183.33,0,1
209909,4364,2017-04-01,Personal,36,5000,183.33,0,1
209906,4365,2018-04-01,Car,48,10000,264.58,0,1
209903,4366,2018-11-01,Car,24,30000,1587.5,0,2
209900,4367,2016-11-01,Personal,24,30000,1650.0,0,1
209897,4368,2016-07-01,Car,48,12000,317.5,0,1
209894,4369,2016-03-01,Personal,48,7000,192.5,0,2
209891,4370,2017-06-01,Personal,48,12000,330.0,0,1
209888,4371,2016-04-01,Personal,48,10000,275.0,0,1
209885,4372,2018-09-01,Car,36,12000,423.33,0,1
209882,4373,2017-09-01,Car,48,7000,185.21,0,1
209879,4374,2018-03-01,Personal,72,50000,916.67,0,1
209876,4375,2016-11-01,Housing,72,30000,479.17,0,2
209873,4376,2017-07-01,Financial,72,7000,134.17,1,1
209870,4377,2016-02-01,Car,36,7000,246.94,0,1
209867,4378,2016-03-01,Personal,72,10000,183.33,0,1
209864,4379,2018-02-01,Personal,72,10000,183.33,2,1
209861,4380,2016-11-01,Housing,72,10000,159.72,0,1
209858,4381,2017-08-01,Housing,36,7000,223.61,0,1
209855,4382,2016-01-01,Financial,24,7000,402.5,1,2
209852,4383,2017-03-01,Car,72,4000,70.56,0,1
209849,4384,2016-11-01,Car,72,4000,70.56,1,1
209846,4385,2016-10-01,Financial,36,7000,268.33,0,1
209843,4386,2016-10-01,Car,72,20000,352.78,0,1
209840,4387,2016-05-01,Car,24,20000,1058.33,0,2
209837,4388,2016-03-01,Car,36,20000,705.56,0,2
209834,4389,2018-06-01,Car,48,30000,793.75,0,1
209831,4390,2017-06-01,Personal,36,15000,550.0,1,2
209828,4391,2018-08-01,Personal,36,30000,1100.0,0,2
209825,4392,2016-04-01,Housing,48,12000,287.5,0,1
209822,4393,2017-01-01,Personal,24,25000,1375.0,1,1
209819,4394,2016-12-01,Car,24,4000,211.67,0,1
209816,4395,2017-01-01,Car,36,12000,423.33,0,2
209813,4396,2017-02-01,Car,72,10000,176.39,0,1
209810,4397,2016-01-01,Personal,60,7000,154.0,0,1
209807,4398,2017-02-01,Financial,48,10000,287.5,2,1
209804,4399,2016-03-01,Car,36,10000,352.78,0,1
209801,4400,2017-02-01,Housing,48,10000,287.5,0,2
209798,4401,2018-05-01,Housing,72,10000,159.72,1,1
209795,4402,2018-01-01,Financial,48,5000,143.75,0,1
209792,4403,2018-07-01,Personal,36,10000,366.67,1,2
209789,4404,2018-06-01,Personal,36,7000,256.67,1,4
209786,4405,2018-06-01,Personal,48,15000,412.5,0,2
209783,4406,2017-11-01,Personal,60,7000,154.0,2,4
209780,4407,2016-11-01,Car,36,10000,1763.89,1,1
209777,4408,2018-03-01,Personal,36,12000,440.0,1,1
209774,4409,2017-10-01,Personal,72,4000,73.33,0,3
209771,4410,2016-04-01,Personal,72,10000,183.33,0,1
209768,4411,2016-01-01,Personal,36,10000,366.67,0,1
209765,4412,2017-12-01,Car,72,30000,529.17,0,2
209762,4413,2018-05-01,Financial,48,7000,201.25,0,1
209759,4414,2016-12-01,Car,72,30000,529.17,1,4
209756,4415,2018-03-01,Housing,72,15000,239.58,0,1
209753,4416,2017-12-01,Car,72,4000,70.56,0,1
209750,4417,2017-10-01,Car,72,10000,176.39,0,1
209747,4418,2016-12-01,Personal,36,12000,440.0,1,2
209744,4419,2016-03-01,Personal,36,10000,1833.33,1,1
209741,4420,2016-04-01,Car,72,10000,176.39,1,1
209738,4421,2017-10-01,Car,36,7000,246.94,0,1
209735,4422,2017-09-01,Car,48,4000,105.83,1,1
209732,4423,2017-07-01,Personal,60,10000,220.0,0,1
209729,4424,2017-01-01,Car,36,10000,705.56,0,2
209726,4425,2016-08-01,Housing,36,10000,638.89,0,1
209723,4426,2016-01-01,Car,24,5000,264.58,0,1
209720,4427,2017-09-01,Car,48,10000,661.46,0,1
209717,4428,2018-04-01,Car,48,7000,185.21,0,1
209714,4429,2016-05-01,Housing,24,10000,479.17,0,1
209711,4430,2018-11-01,Personal,36,10000,366.67,0,4
209708,4431,2016-03-01,Car,36,12000,423.33,0,1
209705,4432,2017-08-01,Car,24,7000,370.42,0,1
209702,4433,2017-09-01,Car,72,12000,211.67,0,1
209699,4434,2017-07-01,Car,36,7000,246.94,0,1
209696,4435,2018-09-01,Financial,48,10000,287.5,0,1
209693,4436,2016-03-01,Housing,72,15000,239.58,1,1
209690,4437,2017-01-01,Personal,36,7000,256.67,0,1
209687,4438,2018-12-01,Car,36,15000,529.17,0,2
209684,4439,2018-04-01,Housing,48,15000,359.38,0,2
209681,4440,2016-12-01,Financial,60,10000,230.0,0,2
209678,4441,2017-01-01,Personal,36,15000,550.0,0,1
209675,4442,2017-01-01,Financial,36,15000,575.0,1,2
209672,4443,2017-01-01,Personal,60,10000,220.0,0,1
209669,4444,2016-12-01,Housing,60,20000,383.33,0,1
209666,4445,2016-11-01,Car,48,10000,264.58,0,1
209663,4446,2016-10-01,Housing,36,25000,798.61,2,1
209660,4447,2018-11-01,Car,48,7000,185.21,0,1
209657,4448,2017-02-01,Housing,24,7000,335.42,0,1
209654,4449,2018-08-01,Car,24,10000,529.17,0,1
209651,4450,2017-10-01,Personal,24,7000,385.0,0,3
209648,4451,2018-01-01,Housing,36,7000,223.61,0,1
209645,4452,2017-06-01,Car,24,10000,529.17,0,1
209642,4453,2017-11-01,Car,72,10000,176.39,0,1
209639,4454,2016-09-01,Car,60,4000,84.67,1,1
209636,4455,2018-06-01,Car,36,10000,352.78,0,1
209633,4456,2017-01-01,Car,48,30000,793.75,1,1
209630,4457,2017-06-01,Car,60,10000,211.67,0,1
209627,4458,2018-05-01,Car,36,15000,529.17,1,2
209624,4459,2016-03-01,Housing,36,10000,319.44,0,1
209621,4460,2017-03-01,Car,48,7000,185.21,0,1
209618,4461,2017-10-01,Car,48,10000,264.58,0,1
209615,4462,2018-12-01,Car,72,10000,176.39,0,1
209612,4463,2016-01-01,Personal,36,15000,550.0,1,1
209609,4464,2016-10-01,Car,36,7000,246.94,0,4
209606,4465,2017-07-01,Car,36,15000,529.17,0,1
209603,4466,2018-10-01,Financial,48,5000,143.75,0,1
209600,4467,2017-06-01,Car,60,12000,254.0,0,1
209597,4468,2018-01-01,Housing,48,7000,167.71,0,1
209594,4469,2016-02-01,Housing,36,25000,798.61,0,1
209591,4470,2017-03-01,Car,48,5000,132.29,0,1
209588,4471,2016-07-01,Personal,48,15000,412.5,0,1
209585,4472,2018-10-01,Personal,36,7000,256.67,0,2
209582,4473,2018-07-01,Housing,36,20000,638.89,0,1
209579,4474,2016-05-01,Personal,48,7000,192.5,0,1
209576,4475,2016-07-01,Personal,24,4000,220.0,0,2
209573,4476,2017-04-01,Personal,36,12000,440.0,0,1
209570,4477,2017-09-01,Housing,48,7000,167.71,0,2
209567,4478,2017-06-01,Financial,60,15000,345.0,0,1
209564,4479,2017-01-01,Personal,36,25000,916.67,0,2
209561,4480,2017-09-01,Car,24,15000,793.75,0,1
209558,4481,2018-01-01,Financial,48,20000,575.0,0,1
209555,4482,2017-06-01,Car,72,5000,88.19,0,1
209552,4483,2017-05-01,Personal,48,7000,192.5,0,3
209549,4484,2018-04-01,Car,48,10000,317.5,0,1
209546,4485,2017-06-01,Car,48,10000,264.58,2,2
209543,4486,2017-01-01,Car,72,7000,123.47,2,1
209540,4487,2017-09-01,Housing,24,10000,575.0,2,2
209537,4488,2017-07-01,Personal,48,2000,137.5,1,1
209534,4489,2016-09-01,Personal,24,25000,1375.0,0,2
209531,4490,2018-09-01,Personal,48,12000,330.0,2,1
209528,4491,2018-02-01,Housing,24,7000,335.42,0,3
209525,4492,2017-09-01,Personal,36,15000,550.0,0,3
209522,4493,2017-01-01,Financial,36,5000,191.67,0,2
209519,4494,2016-01-01,Housing,72,10000,159.72,0,2
209516,4495,2017-12-01,Car,24,4000,211.67,0,1
209513,4496,2017-01-01,Car,48,7000,185.21,0,1
209510,4497,2018-07-01,Financial,36,20000,766.67,0,1
209507,4498,2016-08-01,Personal,48,7000,192.5,0,1
209504,4499,2017-04-01,Car,48,12000,317.5,0,1
209501,4500,2016-11-01,Personal,36,10000,366.67,0,1
209498,4501,2018-02-01,Car,48,7000,185.21,0,1
209495,4502,2018-03-01,Financial,36,25000,958.33,0,1
209492,4503,2018-01-01,Personal,36,10000,366.67,0,1
209489,4504,2017-06-01,Financial,36,25000,958.33,0,3
209486,4505,2016-09-01,Car,48,10000,264.58,1,1
209483,4506,2018-03-01,Car,60,20000,423.33,0,1
209480,4507,2016-10-01,Personal,36,10000,366.67,0,1
209477,4508,2016-08-01,Personal,48,15000,412.5,0,1
209474,4509,2017-04-01,Financial,36,10000,383.33,0,1
209471,4510,2017-09-01,Car,36,20000,705.56,0,1
209468,4511,2018-07-01,Car,48,10000,661.46,0,1
209465,4512,2016-10-01,Personal,48,50000,1375.0,3,1
209462,4513,2016-10-01,Car,36,7000,246.94,0,2
209459,4514,2016-10-01,Personal,48,7000,192.5,0,4
209456,4515,2017-08-01,Car,24,10000,529.17,0,1
209453,4516,2018-06-01,Car,36,15000,529.17,0,1
209450,4517,2018-06-01,Housing,60,7000,134.17,1,1
209447,4518,2016-07-01,Car,36,15000,529.17,0,1
209444,4519,2016-04-01,Housing,36,7000,223.61,0,1
209441,4520,2017-01-01,Car,36,7000,246.94,0,2
209438,4521,2018-06-01,Housing,36,15000,479.17,0,1
209435,4522,2016-08-01,Housing,48,15000,359.38,0,3
209432,4523,2018-07-01,Car,48,10000,264.58,0,1
209429,4524,2016-01-01,Car,36,10000,1058.33,0,1
209426,4525,2016-11-01,Financial,72,7000,134.17,0,1
209423,4526,2016-06-01,Financial,48,7000,201.25,0,2
209420,4527,2018-10-01,Car,36,10000,352.78,0,1
209417,4528,2016-11-01,Car,48,12000,317.5,0,1
209414,4529,2017-05-01,Personal,72,7000,128.33,0,1
209411,4530,2016-06-01,Personal,36,25000,916.67,0,2
209408,4531,2017-05-01,Financial,36,30000,1150.0,0,3
209405,4532,2016-12-01,Personal,72,15000,275.0,0,1
209402,4533,2018-02-01,Housing,24,10000,479.17,1,1
209399,4534,2016-09-01,Housing,36,10000,479.17,0,1
209396,4535,2018-12-01,Personal,72,7000,128.33,1,1
209393,4536,2017-11-01,Financial,48,7000,201.25,0,1
209390,4537,2017-07-01,Car,24,10000,529.17,0,1
209387,4538,2017-07-01,Personal,48,15000,412.5,0,1
209384,4539,2018-11-01,Personal,48,15000,412.5,0,1
209381,4540,2018-04-01,Car,24,7000,370.42,0,1
209378,4541,2017-08-01,Personal,24,12000,660.0,1,1
209375,4542,2016-03-01,Personal,36,7000,256.67,2,1
209372,4543,2016-10-01,Housing,48,7000,167.71,0,1
209369,4544,2018-03-01,Car,48,10000,396.88,0,1
209366,4545,2017-02-01,Car,60,7000,148.17,0,1
209363,4546,2016-11-01,Car,72,25000,440.97,1,1
209360,4547,2017-11-01,Housing,36,30000,958.33,1,1
209357,4548,2017-02-01,Financial,72,25000,479.17,0,1
209354,4549,2016-04-01,Housing,36,20000,638.89,0,5
209351,4550,2017-02-01,Personal,36,25000,916.67,0,1
209348,4551,2016-09-01,Car,72,20000,352.78,0,1
209345,4552,2016-06-01,Housing,72,5000,79.86,0,2
209342,4553,2018-08-01,Personal,72,10000,183.33,0,1
209339,4554,2016-04-01,Housing,48,10000,239.58,3,1
209336,4555,2016-12-01,Housing,36,5000,159.72,0,1
209333,4556,2016-09-01,Car,60,10000,423.33,0,1
209330,4557,2018-04-01,Car,36,10000,352.78,0,1
209327,4558,2017-10-01,Car,36,5000,176.39,0,1
209324,4559,2016-03-01,Car,72,10000,352.78,1,1
209321,4560,2016-11-01,Housing,36,10000,479.17,1,1
